index,genres,homepage,id,keywords,original_language,popularity,release_year,title,cast,director
2924,Thriller Drama,,1817,terrorist phone booth psychopath,en,38.018085,2002,Phone Booth,Colin Farrell Kiefer Sutherland Forest Whitaker Radha Mitchell Katie Holmes,Joel Schumacher
2925,Drama Romance,http://www2.warnerbros.com/walktoremember/main.html,10229,based on novel theatre group north carolina theatre milieu high school,en,33.283554,2002,A Walk to Remember,Mandy Moore Shane West Peter Coyote Daryl Hannah Lauren German,Adam Shankman
2926,Drama,,687,prison rape socially deprived family penalty death penalty,en,15.864928,1995,Dead Man Walking,Susan Sarandon Sean Penn Robert Prosky Raymond J. Barry R. Lee Ermey,Tim Robbins
2927,Drama Romance Thriller,,796,upper class sexual obsession sex bet sadistic,en,23.449703,1999,Cruel Intentions,Sarah Michelle Gellar Ryan Phillippe Reese Witherspoon Selma Blair Louise Fletcher,Roger Kumble
2928,Horror Mystery,http://www.saw6film.com/,22804,aftercreditsstinger,en,31.900899,2009,Saw VI,Tobin Bell Costas Mandylor Betsy Russell Mark Rolston Peter Outerbridge,Kevin Greutert
2929,Comedy,,10156,moses roman empire musical stone age music,en,14.282314,1981,History of the World: Part I,Mel Brooks Dom DeLuise Madeline Kahn Harvey Korman Cloris Leachman,Mel Brooks
2930,Adventure,http://www.foxsearchlight.com/thesecretlifeofbees/,12837,woman director,en,7.645979,2008,The Secret Life of Bees,Dakota Fanning Queen Latifah Jennifer Hudson Sophie Okonedo Alicia Keys,Gina Prince-Bythewood
2931,Action Comedy Crime,,17708,,en,3.495758,2001,Corky Romano,Chris Kattan Vinessa Shaw Peter Falk Peter Berg Chris Penn,Rob Pritts
2932,Drama Horror Thriller Crime,,13937,,en,7.558959,1992,Raising Cain,John Lithgow Lolita Davidovich Steven Bauer Frances Sternhagen Gregg Henry,Brian De Palma
2933,Drama Action,,28932,,en,3.375208,1978,F.I.S.T.,Sylvester Stallone Rod Steiger Peter Boyle Melinda Dillon David Huffman,Norman Jewison
2934,Science Fiction,,31909,space invasion remake alien invasion,en,4.234269,1986,Invaders from Mars,Karen Black Hunter Carson Timothy Bottoms Laraine Newman James Karen,Tobe Hooper
2935,Drama Romance,http://www.foxsearchlight.com/brooklyn/,167073,love triangle based on novel homesickness vororte ship,en,39.337949,2015,Brooklyn,Saoirse Ronan Domhnall Gleeson Emory Cohen Jim Broadbent Julie Walters,John Crowley
2936,Drama Romance War,,3175,palace british army fencing epic debt,en,29.543331,1975,Barry Lyndon,Ryan O'Neal Marisa Berenson Hardy Kr\u00fcger Diana K\u00f6rner Frank Middlemass,Stanley Kubrick
2937,Comedy,,14369,manager alcohol races mountains gondola,en,4.12064,2001,Out Cold,Jason London Lee Majors Zach Galifianakis Victoria Silvstedt David Koechner,Brendan Malloy
2938,Comedy,,16888,female nudity tattoo radio cheat on husband eating contest,en,2.259537,2000,The Ladies Man,Tim Meadows Karyn Parsons Billy Dee Williams John Witherspoon Jill Talley,Reginald Hudlin
2939,Drama Comedy Romance,,121826,musician concert retired,en,7.722021,2012,Quartet,Maggie Smith Tom Courtenay Billy Connolly Pauline Collins Michael Gambon,Dustin Hoffman
2940,Comedy Romance,,10646,compulsive gambling roulette stag night group of friends,en,7.063053,2001,Tomcats,Jerry O'Connell Shannon Elizabeth Jake Busey Horatio Sanz Bernie Casey,Gregory Poirier
2941,Drama Thriller Crime,,12149,angel sheriff loss of mother 1970s texas,en,16.003958,2001,Frailty,Bill Paxton Matthew McConaughey Powers Boothe Matt O'Leary Jeremy Sumpter,Bill Paxton
2942,Drama,http://womaningoldmovie.com/,304357,nazis based on true story art stolen painting,en,21.204929,2015,Woman in Gold,Helen Mirren Ryan Reynolds Tatiana Maslany Katie Holmes Max Irons,Simon Curtis
2943,Drama,,11184,free love sex sexuality indiana professor,en,6.799314,2004,Kinsey,Liam Neeson Laura Linney Chris O'Donnell Peter Sarsgaard Timothy Hutton,Bill Condon
2944,Fantasy Horror Comedy,,766,prophecy witch swordplay supermarket castle,en,33.758281,1992,Army of Darkness,Bruce Campbell Embeth Davidtz Marcus Gilbert Ian Abercrombie Richard Grove,Sam Raimi
2945,Comedy Romance,,20009,male nudity drug abuse job interview eavesdropping fall,en,9.371811,2002,Slackers,Jason Segel Devon Sawa Jason Schwartzman Jaime King Cameron Diaz,Dewey Nicks
2946,Romance Drama,,1587,brother brother relationship mentally disabled iowa widow dysfunctional family,en,33.282794,1993,What's Eating Gilbert Grape,Johnny Depp Leonardo DiCaprio Juliette Lewis Darlene Cates Mary Steenburgen,Lasse Hallstr\u00f6m
2947,Drama History,,30973,miracle jesus christ last supper bible christian,en,3.208172,2003,The Visual Bible: The Gospel of John,Christopher Plummer Henry Ian Cusick Stuart Bunce Daniel Kash Stephen Russell,Philip Saville
2948,Crime Drama,,11109,england mother role women's prison police neighbor,en,4.131918,2004,Vera Drake,Imelda Staunton Sally Hawkins Richard Graham Eddie Marsan Anna Keaveney,Mike Leigh
2949,Comedy Romance,,9027,sex indian lead dancing master new love porn actor,en,4.093288,2002,The Guru,Jimi Mistry Heather Graham Marisa Tomei Michael McKean Dash Mihok,Daisy von Scherler Mayer
2950,Comedy Drama Romance,,63020,immigration independent film woman director political prisoner cuban refugees,en,1.187671,1995,The Perez Family,Marisa Tomei Alfred Molina Anjelica Huston Chazz Palminteri Trini Alvarado,Mira Nair
2951,Drama Music,http://www.cbsfilms.com/inside-llewyn-davis/,86829,folk music performance aspiring singer new york city recording,en,36.319205,2013,Inside Llewyn Davis,Oscar Isaac Carey Mulligan Justin Timberlake Jerry Grayson Robin Bartlett,Joel Coen
2952,Drama Romance Thriller,,11065,sex jealousy girlfriend high school columbine,en,4.146752,2001,O,Mekhi Phifer Josh Hartnett Andrew Keegan Julia Stiles Martin Sheen,Tim Blake Nelson
2953,Drama Adventure Romance,,13888,island marooned pacific island teenager deserted island,en,9.705589,1991,Return to the Blue Lagoon,Milla Jovovich Brian Krause Lisa Pelikan Courtney Barilla Garette Ratliff Henson,William A. Graham
2954,Drama History,,42345,pennsylvania miner coal mining coal mine pennsylvania coal miner,en,1.396985,1970,The Molly Maguires,Sean Connery Samantha Eggar Richard Harris Frank Finlay Anthony Zerbe,Martin Ritt
2955,Comedy Music Romance,,13994,infidelity lovers working class new york city,en,4.056774,2005,Romance & Cigarettes,James Gandolfini Susan Sarandon Kate Winslet Steve Buscemi Mandy Moore,John Turturro
2956,Drama,,1590,beethoven woman director,en,5.062687,2006,Copying Beethoven,Ed Harris Diane Kruger Matthew Goode Phyllida Law Ralph Riach,Agnieszka Holland
2957,Drama Thriller Crime,http://brightonrockmovie.com/,62728,waitress riot gang war nightmare prayer,en,3.122152,2010,Brighton Rock,Andy Serkis Helen Mirren John Hurt Sam Riley Andrea Riseborough,Rowan Joffe
2958,Horror Thriller Crime,,11917,blood splatter serial killer pig mask nazi jigsaw,en,32.943848,2008,Saw V,Tobin Bell Costas Mandylor Scott Patterson Betsy Russell Mark Rolston,David Hackl
2959,Drama Action Thriller Crime Foreign,,45138,mobster,it,0.700127,1969,Machine Gun McCain,John Cassavetes Britt Ekland Peter Falk Gabriele Ferzetti Margherita Guzzinati,Giuliano Montaldo
2960,Drama Comedy Romance,,80271,coming of age mother daughter relationship teen movie teenager based on film,en,31.763201,2012,LOL,Miley Cyrus Demi Moore Douglas Booth Ashley Greene Ashley Hinshaw,Lisa Azuelos
2961,Crime Drama Mystery Thriller,http://www.sonyclassics.com/jindabyne/,4657,small town fishing male friendship australia marriage crisis,en,8.950864,2006,Jindabyne,Laura Linney Gabriel Byrne Deborra-Lee Furness John Howard Leah Purcell,Ray Lawrence
2962,Drama Romance,,14395,adultery extramarital affair,hi,3.246903,2006,Kabhi Alvida Naa Kehna,Shah Rukh Khan Rani Mukerji Preity Zinta Abhishek Bachchan Amitabh Bachchan,Karan Johar
2963,Drama Comedy Romance,,24137,,en,4.519523,1999,An Ideal Husband,Cate Blanchett Minnie Driver Rupert Everett Julianne Moore Jeremy Northam,Oliver Parker
2964,Science Fiction Thriller Horror,,190847,mars science fiction zombie,en,18.764453,2013,The Last Days on Mars,Liev Schreiber Romola Garai Elias Koteas Olivia Williams Johnny Harris,Ruairi Robinson
2965,Horror,http://www.miramax.com/movie/darkness,11056,loss of child solar eclipse haunted house family psychopathy,en,6.340135,2002,Darkness,Anna Paquin Lena Olin Iain Glen Giancarlo Giannini Fele Mart\u00ednez,Jaume Balaguer\u00f3
2966,Science Fiction Mystery Adventure,,62,moon jupiter artificial intelligence man vs machine technology,en,86.201184,1968,2001: A Space Odyssey,Keir Dullea Gary Lockwood William Sylvester Douglas Rain Daniel Richter,Stanley Kubrick
2967,Science Fiction Adventure Family Fantasy,http://www.et20.com/,601,farewell homesickness nasa extraterrestrial technology operation,en,56.105798,1982,E.T. the Extra-Terrestrial,Henry Thomas Drew Barrymore Robert MacNaughton Dee Wallace Peter Coyote,Steven Spielberg
2968,Romance Comedy Drama,http://www.warnerbros.com/land-women,13067,infidelity party love cancer neighbor,en,12.792446,2007,In the Land of Women,Meg Ryan Kristen Stewart Adam Brody JoBeth Williams Olympia Dukakis,Jon Kasdan
2969,Adventure Drama Family,,25379,rain butterfly rainforest woman director insects,en,1.985552,2004,The Blue Butterfly,Marc Donato Pascale Bussi\u00e8res William Hurt Raoul Max Trujillo Steve Adams,L\u00e9a Pool
2970,Drama Comedy,,88641,,en,0.037073,1994,There Goes My Baby,Dermot Mulroney Ricky Schroder Kelli Williams Noah Wyle Lucy Deakins,Floyd Mutrux
2971,Drama Comedy Romance Foreign,http://housefull.erosentertainment.com/,58051,,hi,0.12082,2010,Housefull,Akshay Kumar Ritesh Deshmukh Deepika Padukone Lara Dutta Jiah Khan,Sajid Khan
2972,Drama Action History Western Romance,,14877,,en,3.646848,2007,September Dawn,Jon Voight Tamara Hope Trent Ford Lolita Davidovich Dean Cain,Christopher Cain
2973,History Drama,http://www.cristiadafilm.com/,96399,duringcreditsstinger,en,5.759545,2012,For Greater Glory - The True Story of Cristiada,Eva Longoria Andy Garc\u00eda Oscar Isaac Peter O'Toole Rub\u00e9n Blades,Dean Wright
2974,Comedy Drama Music,,304410,deafness music coming of age teenage girl singing,fr,25.302978,2014,The Bélier Family,Louane Emera Karin Viard Fran\u00e7ois Damiens Eric Elmosnino Roxane Duran,Eric Lartigau
2975,Drama,http://www.miramax.com/movie/good-will-hunting,489,baseball boston professor m.i.t. harvard university,en,43.734886,1997,Good Will Hunting,Robin Williams Matt Damon Ben Affleck Stellan Skarsg\u00e5rd Minnie Driver,Gus Van Sant
2976,Drama Thriller,,373314,,en,10.016909,2016,Misconduct,Josh Duhamel Alice Eve Malin \u00c5kerman Lee Byung-hun Julia Stiles,Shintaro Shimosawa
2977,Horror Thriller Crime,,214,brain tumor nudity suffocation mutilation severed foot,en,33.124871,2006,Saw III,Tobin Bell Shawnee Smith Angus Macfadyen Bahar Soomekh Dina Meyer,Darren Lynn Bousman
2978,Action Comedy,,10890,date ex-girlfriend u.s. army military spoof,en,10.892398,1981,Stripes,Bill Murray Harold Ramis Warren Oates P.J. Soles Sean Young,Ivan Reitman
2979,Comedy,https://www.uphe.com/movies/bring-it-on,1588,cheerleader sport high school teenage girl cheerleading,en,14.754281,2000,Bring It On,Kirsten Dunst Jesse Bradford Eliza Dushku Gabrielle Union Huntley Ritter,Peyton Reed
2980,Action Horror Thriller,http://www.purgeelectionyear.com,316727,dystopia sequel legalized murder,en,53.727146,2016,The Purge: Election Year,Elizabeth Mitchell Frank Grillo Mykelti Williamson Edwin Hodge Raymond J. Barry,James DeMonaco
2981,Comedy Romance,,10314,tv star jeep volleyball misfit teen angst,en,8.9876,1999,She's All That,Freddie Prinze Jr. Rachael Leigh Cook Matthew Lillard Paul Walker Jodi Lyn O'Keefe,Robert Iscove
2982,Horror Thriller Crime,http://movies.break.com/saw4/,663,ice victim pain games psychopath,en,29.244768,2007,Saw IV,Tobin Bell Scott Patterson Costas Mandylor Betsy Russell Lyriq Bent,Darren Lynn Bousman
2983,Drama Horror Thriller,,11804,wheelchair time voice inspector supernatural,en,14.447723,2005,White Noise,Michael Keaton Chandra West Deborah Kara Unger Ian McNeice Keegan Connor Tracy,Geoffrey Sax
2984,Drama Comedy Romance,,16781,spanking based on play,en,5.882208,2006,Madea's Family Reunion,Tyler Perry Blair Underwood Lynn Whitfield Boris Kodjoe Lisa Arrindell,Tyler Perry
2985,Drama,,11873,bar billard talent hustler sport,en,17.3393,1986,The Color of Money,Paul Newman Tom Cruise Mary Elizabeth Mastrantonio Helen Shaver John Turturro,Martin Scorsese
2986,Action Drama History War,,9289,world war ii normandy allied widerstand steel helmet,en,19.524972,1962,The Longest Day,Eddie Albert Paul Anka Arletty Jean-Louis Barrault Richard Beymer,Bernhard Wicki
2987,Comedy Family,,10414,sports team sport ice hockey hockey game winning,en,8.932837,1992,The Mighty Ducks,Emilio Estevez Joss Ackland Lane Smith Heidi Kling Josef Sommer,Stephen Herek
2988,Horror Mystery Thriller,,1970,male nudity nurse japanese house remake,en,35.695442,2004,The Grudge,Sarah Michelle Gellar Jason Behr Clea DuVall Bill Pullman William Mapother,Takashi Shimizu
2989,Comedy,,9614,loss of mother loss of father golf sport taxes,en,26.598884,1996,Happy Gilmore,Adam Sandler Ben Stiller Christopher McDonald Julie Bowen Frances Bay,Dennis Dugan
2990,Horror Thriller,,8922,mass murder song brother sister aftercreditsstinger,en,23.316208,2001,Jeepers Creepers,Gina Philips Justin Long Jonathan Breck Patricia Belcher Eileen Brennan,Victor Salva
2991,Adventure Comedy Science Fiction,http://www.billandted.org/,1648,jealousy journey in the past sigmund freud time travel heavy metal,en,25.929893,1989,Bill & Ted's Excellent Adventure,Keanu Reeves Alex Winter George Carlin Dan Shor Hal Landon Jr.,Stephen Herek
2992,Drama Family Music,,17917,pickpocket musical victorian england orphan,en,8.305998,1968,Oliver!,Ron Moody Shani Wallis Oliver Reed Harry Secombe Mark Lester,Carol Reed
2993,Drama Comedy,http://www.foxsearchlight.com/thebestexoticmarigoldhotel/,74534,hotel based on novel india ensemble cast elderly,en,21.258991,2011,The Best Exotic Marigold Hotel,Bill Nighy Maggie Smith Tom Wilkinson Judi Dench Dev Patel,John Madden
2994,Science Fiction Animation Comedy Family,,19405,holiday elementary school friends based on tv series summer,en,5.699058,2001,Recess: School's Out,Rickey D'Shon Collins Jason Davis Ashley Johnson Courtland Mead Pamela Adlon,Chuck Sheetz
2995,Action Adventure Science Fiction,,9355,arena sandstorm dystopia oasis sequel,en,36.582038,1985,Mad Max Beyond Thunderdome,Mel Gibson Tina Turner Bruce Spence Helen Buday Angelo Rossitto,George Miller
2996,Action Adventure Thriller,,10999,kidnapping lone wolf daughter father rescue mission,en,34.224204,1985,Commando,Arnold Schwarzenegger Rae Dawn Chong Dan Hedaya Vernon Wells James Olson,Mark L. Lester
2997,Horror Mystery Thriller,http://theboymovie.tumblr.com/,321258,suicide england fire country house shower,en,38.179483,2016,The Boy,Lauren Cohan Rupert Evans James Russell Jim Norton Diana Hardcastle,William Brent Bell
2998,Horror Mystery Thriller,http://www.thenightchronicles.com/devil/,44040,claustrophobia trapped in an elevator,en,30.934688,2010,Devil,Chris Messina Jacob Vargas Bojana Novakovi\u0107 Logan Marshall-Green Bokeem Woodbine,John Erick Dowdle
2999,Comedy,,10426,guard shopping mall thief drug,en,7.499639,2002,Friday After Next,Ice Cube Mike Epps John Witherspoon Don Curry Anna Maria Horsford,Marcus Raboy
3000,Drama Horror Thriller,,280092,sequel,en,45.946524,2015,Insidious: Chapter 3,Dermot Mulroney Stefanie Scott Lin Shaye Leigh Whannell Angus Sampson,Leigh Whannell
3001,Action Adventure Comedy,,13938,martial arts pizzeria limousine music,en,4.928777,1985,The Last Dragon,Taimak Julius Carry Vanity Christopher Murney Faith Prince,Michael Schultz
3002,Horror Thriller Science Fiction,,10163,dream chimp manipulation botanist virtual reality,en,10.125029,1992,The Lawnmower Man,Jeff Fahey Pierce Brosnan Jenny Wright Mark Bringelson Geoffrey Lewis,Brett Leonard
3003,Comedy Music Romance,,12182,concert teenager one night based on young adult novel secret location,en,20.452449,2008,Nick and Norah's Infinite Playlist,Michael Cera Kat Dennings Aaron Yoo Alexis Dziena Ari Graynor,Peter Sollett
3004,Fantasy Comedy Adventure,http://www.dogma-movie.com/,1832,angel wisconsin church service church aftercreditsstinger,en,14.543435,1999,Dogma,Ben Affleck Matt Damon Linda Fiorentino Jason Mewes Chris Rock,Kevin Smith
3005,Comedy Drama,,9034,tattoo rock star groupie past family,en,6.015354,2002,The Banger Sisters,Goldie Hawn Susan Sarandon Geoffrey Rush Erika Christensen Robin Thomas,Bob Dolman
3006,Drama Fantasy Horror Science Fiction Thriller,,15301,nazis anthology remake twilight zone,en,12.902975,1983,Twilight Zone: The Movie,Albert Brooks Vic Morrow John Larroquette John Lithgow Dan Aykroyd,Steven Spielberg
3007,Action Thriller,,10135,new love protection money nightclub rausschmei\u00dfer revenge,en,6.216203,1989,Road House,Patrick Swayze Kelly Lynch Sam Elliott Ben Gazzara Marshall R. Teague,Rowdy Herrington
3008,Action Comedy Crime,,26352,fbi drug crime violence drug private detective,en,3.290639,1994,A Low Down Dirty Shame,Keenen Ivory Wayans Charles S. Dutton Jada Pinkett Smith Salli Richardson-Whitfield Andrew Divoff,Keenen Ivory Wayans
3009,Drama Thriller,http://swimfan.film.ru/,20616,competition coma infidelity obsession bathing,en,4.844451,2002,Swimfan,Jesse Bradford Erika Christensen Shiri Appleby Kate Burton Jason Ritter,John Polson
3010,Comedy Romance,,9794,salesclerk midlife crisis prenzlauer berg vulgar slacker,en,9.559737,2006,Employee of the Month,Dane Cook Jessica Simpson Dax Shepard Andy Dick Tim Bagley,Greg Coolidge
3011,Comedy Drama Romance,,15037,alcohol regret homophobia radio cheerleader,en,11.350382,1998,Can't Hardly Wait,Jennifer Love Hewitt Ethan Embry Charlie Korsmo Lauren Ambrose Peter Facinelli,Deborah Kaplan
